brand,domain,profile_url
47-A,googletagmanager.com,https://indiadesignid.com/id-exhibit/47-a/
A-Class Marble,aclassmarble.co.in,https://indiadesignid.com/id-exhibit/a-class-marble-2/
AADYAM HANDWOVEN – AN ADITYA BIRLA INITIATIVE,handwoven.aadyam.co.in,https://indiadesignid.com/id-exhibit/aadyam-handwoven-an-aditya-birla-initiative/
ABACA,abaca.in,https://indiadesignid.com/id-exhibit/abaca/
Abner,abnerlighting.com,https://indiadesignid.com/id-exhibit/abner/
ABSTRAC HOME,googletagmanager.com,https://indiadesignid.com/id-exhibit/abstrac-home/
AKFD and Anantaya,akfdstudio.com,https://indiadesignid.com/id-exhibit/akfd-and-anantaya/
AKFD Studio,akfdstudio.com,https://indiadesignid.com/id-exhibit/akfd-studio/
Alex Davis Studio,googletagmanager.com,https://indiadesignid.com/id-exhibit/alex-davis-studio-2/
ALTROVE,altrove.in,https://indiadesignid.com/id-exhibit/altrove/
Anavila,anavila.com,https://indiadesignid.com/id-exhibit/anavila/
ANCA,anca-1985.com,https://indiadesignid.com/id-exhibit/anca-2/
andblack design studio,googletagmanager.com,https://indiadesignid.com/id-exhibit/andblack-design-studio-2/
Apartment9,apartment9.in,https://indiadesignid.com/id-exhibit/apartment9-3/
Apparao Galleries,,https://indiadesignid.com/id-exhibit/apparao-galleries/
AREZZO AND NIRMAL’S,googletagmanager.com,https://indiadesignid.com/id-exhibit/arezzo-and-nirmals/
arisaa,arisaa.com,https://indiadesignid.com/id-exhibit/arisaa/
Aristo,aristo-india.com,https://indiadesignid.com/id-exhibit/aristo/
Art Attaichi,artattaichi.com,https://indiadesignid.com/id-exhibit/art-attaichi-2/
Art Explore,artexplore.in,https://indiadesignid.com/id-exhibit/art-explore-2/
ARTE,arte-international.com,https://indiadesignid.com/id-exhibit/arte/
Arte Di Lusso by Sources Unlimited,googletagmanager.com,https://indiadesignid.com/id-exhibit/arte-di-lusso-by-sources-unlimited/
ARTE WALLCOVERINGS,arte-international.com,https://indiadesignid.com/id-exhibit/arte-wallcoverings/
Artelore Living,arteloreliving.com,https://indiadesignid.com/id-exhibit/artelore-living/
Artisanal Abode,googletagmanager.com,https://indiadesignid.com/id-exhibit/artisanal-abode/
Atelier Ashiesh Shah,atelierashieshshah.com,https://indiadesignid.com/id-exhibit/atelier-ashiesh-shah-2/
Atelier Bobby Aggarwal,portsidecafeshop.com,https://indiadesignid.com/id-exhibit/atelier-bobby-aggarwal/
ATTITUDES – MASTERLY DRESSING SUITE,googletagmanager.com,https://indiadesignid.com/id-exhibit/attitudes-masterly-dressing-suite/
Aux Deco,auxhome.in,https://indiadesignid.com/id-exhibit/aux-deco/
Aux Home,,https://indiadesignid.com/id-exhibit/aux-home/
AuxHome,auxhome.in,https://indiadesignid.com/id-exhibit/auxhome/
